TechMagic,https://extract.co/techmagic,Lviv,Ukraine,2014,51 to 100 employees,1 Office,Clients from 4 Countries,www.techmagic.co,+1 541-754-3010,$26 to $50,"$75,000 to $150,000","['nodejs 50.45%', 'angular.js 43.53%', 'swift 43.53%', 'javascript 38.53%', 'mysql 27.88%', 'java 27.88%', 'objective c 27.88%']","[',38.53/100 entertainment,32.03/100 startup,27.88/100 online services,10/100 security,10/100 financial services,10/100 marketing & advertising,10/100 social networking,10/100 telecommunications,1/100 e-commerce,1/100 education,']",HappyScan,Oleg Dats,"Android and iOS apps development, HappyScan  ","Lviv, Ukraine",Company Size : less than 10 employees,False,Motiflow,Erwin Damberg,"Mr., Probo  ","Dokkum, Netherlands",Company Size : less than 10 employees
,,,,,,,,,,,,,,Good.co,Palle Pedersen,"CTO, Good.co  ","San Francisco, United States",Company Size : 21 to 50 employees,False,Sqord,Coleman Greene,"VP, Sqord  ","Washington, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,Elements.cloud,Adrian King,"CTO, Elements.cloud  ","London, United Kingdom",Company Size : less than 10 employees,False,Elements.cloud,Adrian King,"CTO, Elements.cloud  ","London, United Kingdom",Company Size : less than 10 employees
,,,,,,,,,,,,,,Motiflow,Erwin Damberg,"Mr., Probo  ","Dokkum, Netherlands",Company Size : less than 10 employees,False,Good.co,Palle Pedersen,"CTO, Good.co  ","San Francisco, United States",Company Size : 21 to 50 employees
,,,,,,,,,,,,,,,,,,,False,EventInArea,Oleg,"Android and iOS apps development, EventInArea  ","Lviv, Ukraine",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,HappyScan,Oleg Dats,"Android and iOS apps development, HappyScan  ","Lviv, Ukraine",Company Size : less than 10 employees
Tallium Inc,https://extract.co/talliuminc,Kyiv,Ukraine,2011,51 to 100 employees,1 Office,Clients from 4 Countries,tallium.com,+1 403-879-9495,$15 to $25,"$38,000 to $75,000","['php 51.24%', 'swift 44.8%', 'java 44.8%', 'laravel 38.24%', 'reactjs 38.24%', 'yii 38.24%', 'nodejs 37.94%', 'angular.js 31.44%']","[',38.53/100 lifestyle,31.44/100 automotive,31.44/100 e-commerce,10/100 entertainment,10/100 financial services,10/100 gambling & casinos,10/100 marketing & advertising,10/100 medical & healthcare,10/100 retail,10/100 startup,']",Design Contest,Alex Michelson,"Project Manager at Design Contest Ltd., Design Contest  ","Kyiv, Ukraine",Company Size : less than 10 employees,False,Connect.Family,Ramray Saikam,"Founder, Connect.Family  ","Chester Springs, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,iDealer,Matthew Ruck,"CTO, iDealer  ","Calgary, Canada",Company Size : less than 10 employees,False,CharterClick,Vlad Mozharov,"General Manager, CharterClick.com  ","Dubai, United Arab Emirates",Company Size : less than 10 employees
,,,,,,,,,,,,,,CharterClick,Vlad Mozharov,"General Manager, CharterClick.com  ","Dubai, United Arab Emirates",Company Size : less than 10 employees,False,iDealer,Matthew Ruck,"CTO, iDealer  ","Calgary, Canada",Company Size : less than 10 employees
,,,,,,,,,,,,,,Connect.Family,Ramray Saikam,"Founder, Connect.Family  ","Chester Springs, United States",Company Size : less than 10 employees,False,Design Contest,Alex Michelson,"Project Manager at Design Contest Ltd., Design Contest  ","Kyiv, Ukraine",Company Size : less than 10 employees
