AppInventiv Technologies,https://extract.co/appinventiv,Noida,India,2015,101 to 200 employees,2 Offices (MNC),Clients from 17 Countries,appinventiv.com,+91 88269 09998 +1 516-360-2786,$15 to $25,"$150,000 to $250,000","['swift 83.85%', 'java 83.85%', 'amazon web services 83.71%', 'objective c 83.71%', 'php 83.71%', 'app engine 71.04%', 'nodejs 58.03%', 'bluetooth low energy 58.03%', 'ibeacon 51.53%', 'angular.js 38.53%', 'css 28.78%']","[',64.53/100 lifestyle,57.38/100 consumer,51.53/100 e-commerce,38.53/100 automotive,38.53/100 entertainment,38.53/100 fashion,38.53/100 food & beverages,38.53/100 medical & healthcare,32.03/100 banking,32.03/100 leisure & travel,']",Gullak,,consumer Company ,"Noida, India",Company Size : 11 to 20 employees,False,Agra Guide,,leisure & travel Company ,"Agra, India",Company Size : less than 10 employees
,,,,,,,,,,,,,,Ride-sharing Application,Jason Green,"Co-Founder, Sherpa Apps  ","Denver, United States",Company Size : less than 10 employees,False,SloMo,,entertainment Company ,"Mumbai, India",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,Socio-Political App,Ramesh Kumar,"Product Owner, Constituency Connect  ","New Delhi, India",Company Size : less than 10 employees,False,WashMen,,consumer Company ,"Dubai, United Arab Emirates",Company Size : less than 10 employees
,,,,,,,,,,,,,,SnapNSave,,food & beverages Company ,"Texas City, United States",Company Size : less than 10 employees,False,Money Saving App,,lifestyle Company ,"New York, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,Laundry App,,consumer Company ,"Calgary, Canada",Company Size : 51 to 100 employees,False,Foodify,,medical & healthcare Company ,"Dublin, Ireland",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,FleaBuzz App,,e-commerce Company ,"Istanbul, Turkey",Company Size : 21 to 50 employees
,,,,,,,,,,,,,,,,,,,False,Agent101 Personal Assistant,,lifestyle Company ,"Kolkata, India",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,PingHelp App,,consumer Company ,"Gurgaon, India",Company Size : 21 to 50 employees
,,,,,,,,,,,,,,,,,,,False,FoodMap,,food & beverages Company ,"Kuala Lumpur, Malaysia",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,Time-Buster,,lifestyle Company ,"Mumbai, India",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,Scheduler App,,lifestyle Company ,"Stockholm, Sweden",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,BatOpt App,,lifestyle Company ,"Riyadh, Saudi Arabia",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,MobiTube App,,entertainment Company ,"New York, United States",Company Size : 51 to 100 employees
,,,,,,,,,,,,,,,,,,,False,Leisure Club App,,leisure & travel Company ,"Brocton, United States",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,Glubbr,,consumer Company ,"California City, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,Money Transfer App,,banking Company ,"Mexico City, Mexico",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,PAPR - Photo Selling App,,e-commerce Company ,"London, United Kingdom",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,General V.K. Singh App,,lifestyle Company ,"Ghaziabad, India",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,Parking Caddie,,automotive Company ,"Los Angeles, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,Travelify,,leisure & travel Company ,"Buenos Aires, Argentina",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,Online Delivery Platform,,e-commerce Company ,"New York, United States",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,BookYourCeleb App,,fashion Company ,"Johannesburg, South Africa",Company Size : 21 to 50 employees
,,,,,,,,,,,,,,,,,,,False,Health App,,medical & healthcare Company ,"São Paulo, Brazil",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,Shoe App,,fashion Company ,"Paris, France",Company Size : 21 to 50 employees
,,,,,,,,,,,,,,,,,,,False,Shopping App,,e-commerce Company ,"Moscow, Russia",Company Size : 101 to 200 employees
,,,,,,,,,,,,,,,,,,,False,Duplays,,entertainment Company ,"Dubai, United Arab Emirates",Company Size : less than 10 employees
,,,,,,,,,,,,,,,,,,,False,Collage Maker,,lifestyle Company ,"Sydney, Australia",Company Size : 11 to 20 employees
,,,,,,,,,,,,,,,,,,,False,Laundry App,,consumer Company ,"Calgary, Canada",Company Size : 51 to 100 employees
,,,,,,,,,,,,,,,,,,,False,SnapNSave,,food & beverages Company ,"Texas City, United States",Company Size : less than 10 employees
